Name,Intelligence,Strength,Speed,Usefulness,Power Rating,Description
Bantam,25,53,23,21,30.5,"Bantam has abilities such as durability, super strength, stamina, and so on."
Battlestar,50,53,35,48,46.5,"Battlestar has abilities such as agility, durability, super strength, stamina, super speed, reflexes, and so on."
Beak,1,1,1,0,0.75,"Beak has abilities such as flight, gliding, vision - telescopic, and so on."
Beast,88,48,35,35,51.5,"Beast has abilities such as agility, accelerated healing, animal attributes, intelligence, super strength, stamina, dexterity, super speed, enhanced senses, jump, reflexes, natural weapons, wallcrawling, vision - night, and so on."
Beta Ray Bill,63,80,35,100,69.5,"Beta Ray Bill has abilities such as accelerated healing, super strength, stamina, super speed, immortality, invulnerability, toxin and disease resistance, and so on."
Beyonder,88,100,23,100,77.75,"Beyonder has abilities such as accelerated healing, dimensional awareness, energy absorption, flight, super strength, telepathy, energy blasts, size changing, super speed, teleportation, telekinesis, shapeshifting, immortality, invulnerability, force fields, psionic powers, energy manipulation, omnipotent, reality warping, and so on."
Big Man,75,12,23,19,32.25,"Big Man has abilities such as marksmanship, and so on."
Binary,1,1,1,0,0.75,"Binary has abilities such as durability, energy absorption, flight, super strength, energy blasts, super speed, and so on."
Bird-Brain,25,10,35,21,22.75,"Bird-Brain has abilities such as flight, animal attributes, natural weapons, and so on."
Bird-Man,1,1,1,0,0.75,"Bird-Man has abilities such as flight, super strength, animal oriented powers, natural weapons, and so on."
Bird-Man II,1,1,1,0,0.75,"Bird-Man II has abilities such as flight, power suit, and so on."
Bishop,63,14,23,85,46.25,"Bishop has abilities such as accelerated healing, energy absorption, super strength, energy blasts, stamina, invulnerability, time travel, energy resistance, and so on."
Black Abbott,1,1,1,0,0.75,"Black Abbott has abilities such as telepathy, energy blasts, telekinesis, mind control, mind blast, and so on."
Black Bolt,75,67,100,100,85.5,"Black Bolt has abilities such as agility, durability, energy absorption, flight, longevity, super strength, telepathy, energy blasts, stamina, super speed, reflexes, molecular manipulation, sonic scream, and so on."
Black Cat,75,16,33,23,36.75,"Black Cat has abilities such as agility, super strength, stamina, super speed, reflexes, probability manipulation, vision - infrared, and so on."
Black Knight III,63,10,8,43,31.0,"Black Knight III has abilities such as weapon-based powers, and so on."
Black Mamba,75,10,35,78,49.5,"Black Mamba has abilities such as darkforce manipulation, hypnokinesis, illusions, and so on."
Black Panther,88,16,30,41,43.75,"Black Panther has abilities such as agility, stealth, marksmanship, weapons master, stamina, enhanced senses, peak human condition, enhanced memory, reflexes, enhanced hearing, enhanced smell, vision - telescopic, vision - night, and so on."
Black Widow,75,13,27,32,36.75,"Black Widow has abilities such as agility, stealth, marksmanship, weapons master, longevity, intelligence, stamina, peak human condition, reflexes, and so on."
Blackout,63,32,45,38,44.5,"Blackout has abilities such as agility, accelerated healing, durability, super strength, stamina, super speed, camouflage, reflexes, vision - telescopic, vision - night, and so on."
Blackwing,38,10,35,20,25.75,"Blackwing has abilities such as flight, telepathy, and so on."
Blackwulf,50,28,8,59,36.25,"Blackwulf has abilities such as durability, super strength, energy blasts, death touch, and so on."
Blade,63,28,38,33,40.5,"Blade has abilities such as agility, accelerated healing, weapons master, super strength, stamina, super speed, enhanced senses, enhanced hearing, enhanced smell, vision - telescopic, vision - night, and so on."
Bling!,69,14,12,52,36.75,"Bling! has abilities such as durability, natural armor, natural weapons, and so on."
Blink,50,8,20,55,33.25,"Blink has abilities such as teleportation, and so on."
Blizzard,1,1,1,0,0.75,"Blizzard has abilities such as cryokinesis, weapon-based powers, and so on."
Blizzard II,38,10,27,47,30.5,"Blizzard II has abilities such as cryokinesis, and so on."
Blob,10,83,23,26,35.5,"Blob has abilities such as durability, super strength, gravity control, and so on."
Bloodaxe,63,80,33,84,65.0,"Bloodaxe has abilities such as agility, durability, super strength, cryokinesis, energy blasts, stamina, super speed, weapon-based powers, teleportation, fire control, reflexes, invulnerability, magnetism, and so on."
Bloodhawk,50,10,50,66,44.0,"Bloodhawk has abilities such as flight, enhanced senses, shapeshifting, regeneration, natural weapons, radiation immunity, toxin and disease resistance, and so on."
Bloodwraith,1,1,1,0,0.75,"Bloodwraith has abilities such as energy absorption, weapons master, super strength, energy blasts, weapon-based powers, teleportation, telekinesis, magic, invulnerability, and so on."
Box IV,50,75,23,11,39.75,"Box IV has abilities such as telekinesis, and so on."
Brother Voodoo,1,1,1,0,0.75,"Brother Voodoo has abilities such as magic, and so on."
Bullseye,50,11,25,20,26.5,"Bullseye has abilities such as durability, marksmanship, weapons master, and so on."
Bumbleboy,1,1,1,0,0.75,"Bumbleboy has abilities such as flight, telepathy, and so on."
Cable,88,48,23,100,64.75,"Cable has abilities such as agility, accelerated healing, durability, stealth, flight, marksmanship, weapons master, intelligence, super strength, telepathy, energy blasts, stamina, dexterity, super speed, teleportation, telekinesis, astral projection, force fields, psionic powers, technopath"
Callisto,63,53,23,45,46.0,"Callisto has abilities such as agility, accelerated healing, super strength, enhanced senses, reflexes, wallcrawling, vision - night, and so on."
Cannonball,50,28,67,79,56.0,"Cannonball has abilities such as energy absorption, flight, energy armor, super speed, immortality, and so on."
Captain America,63,19,35,46,40.75,"Captain America has abilities such as agility, durability, stealth, marksmanship, weapons master, longevity, stamina, weapon-based powers, peak human condition, reflexes, and so on."
Captain Britain,75,77,50,31,58.25,"Captain Britain has abilities such as agility, durability, stealth, flight, super strength, stamina, super speed, enhanced senses, reflexes, force fields, and so on."
Captain Marvel,100,100,67,62,82.25,"Captain Marvel has abilities such as agility, accelerated healing, cold resistance, durability, energy absorption, flight, danger sense, marksmanship, longevity, intelligence, super strength, energy blasts, stamina, super speed, teleportation, magic, clairvoyance, immortality, enhanced memory, reflexes, invulnerability, energy constructs, self-sustenance, precognition, enhanced hearing, hypnokinesis, levitation, energy manipulation, heat resistance, toxin and disease resistance, omnilingualism, magic resistance, super breath, and so on."
Captain Planet,1,1,1,0,0.75,"Captain Planet has abilities such as flight, super strength, cryokinesis, telepathy, energy blasts, stamina, super speed, electrokinesis, enhanced senses, telekinesis, shapeshifting, immortality, element control, fire control, invulnerability, empathy, elemental transmogrification, enhanced hearing, enhanced sight, molecular manipulation, enhanced smell, water control, plant control, sub-mariner, super breath, terrakinesis, and so on."
Captain Universe,1,1,1,0,0.75,"Captain Universe has abilities such as cold resistance, flight, power augmentation, energy blasts, enhanced senses, molecular manipulation, energy manipulation, heat resistance, and so on."
Carnage,63,63,70,81,69.25,"Carnage has abilities such as agility, accelerated healing, durability, danger sense, super strength, stamina, super speed, weapon-based powers, jump, shapeshifting, camouflage, reflexes, natural weapons, wallcrawling, web creation, symbiote costume, and so on."
Cat,1,1,1,0,0.75,"Cat has abilities such as agility, super strength, stamina, enhanced senses, jump, and so on."
Century,88,80,53,74,73.75,"Century has abilities such as teleportation, dimensional travel, regeneration, and so on."
Cerebra,1,1,1,0,0.75,"Cerebra has abilities such as power sense, and so on."
Chamber,50,10,20,57,34.25,"Chamber has abilities such as telepathy, energy beams, psionic powers, mind blast, and so on."
Changeling,63,10,23,64,40.0,"Changeling has abilities such as telepathy, telekinesis, shapeshifting, and so on."
Cloak,63,10,47,74,48.5,"Cloak has abilities such as dimensional awareness, darkforce manipulation, teleportation, force fields, intangibility, and so on."
Colossus,63,83,33,46,56.25,"Colossus has abilities such as cold resistance, durability, super strength, stamina, super speed, invulnerability, self-sustenance, natural armor, heat resistance, and so on."
Crimson Crusader,1,1,1,0,0.75,"Crimson Crusader has abilities such as flight, longevity, force fields, gravity control, and so on."
Crystal,63,16,12,57,37.0,"Crystal has abilities such as super strength, stamina, super speed, element control, fire control, reflexes, water control, wind control, and so on."
Cyclops,75,10,23,76,46.0,"Cyclops has abilities such as agility, energy absorption, marksmanship, intelligence, energy blasts, energy beams, energy resistance, and so on."
Dagger,63,10,35,52,40.0,"Dagger has abilities such as energy blasts, light control, natural weapons, and so on."
Daredevil,75,13,27,57,43.0,"Daredevil has abilities such as agility, stealth, marksmanship, weapons master, intelligence, telepathy, stamina, enhanced senses, reflexes, enhanced hearing, echolocation, enhanced smell, enhanced touch, radar sense, and so on."
Darkhawk,50,32,33,74,47.25,"Darkhawk has abilities such as durability, flight, energy blasts, weapon-based powers, force fields, power suit, vision - telescopic, vision - infrared, and so on."
Darkstar,38,8,35,52,33.25,"Darkstar has abilities such as flight, energy blasts, teleportation, energy constructs, energy manipulation, and so on."
Dazzler,63,10,35,64,43.0,"Dazzler has abilities such as agility, energy absorption, marksmanship, energy blasts, stamina, audio control, energy beams, energy constructs, force fields, heat generation, light control, levitation, energy manipulation, illusions, resurrection, and so on."
Deadpool,50,15,30,100,48.75,"Deadpool has abilities such as agility, accelerated healing, dimensional awareness, stealth, marksmanship, weapons master, longevity, stamina, weapon-based powers, teleportation, immortality, reflexes, regeneration, toxin and disease resistance, telepathy resistance, mind control resistance, and so on."
Deathlok,69,32,30,40,42.75,"Deathlok has abilities such as agility, durability, intelligence, super strength, stamina, super speed, enhanced memory, reflexes, vision - telescopic, vision - microscopic, vision - infrared, and so on."
Demogoblin,50,48,42,54,48.5,"Demogoblin has abilities such as agility, super strength, telepathy, stamina, super speed, magic, reflexes, natural weapons, and so on."
Destroyer,50,95,58,90,73.25,"Destroyer has abilities such as super strength, energy blasts, size changing, molecular manipulation, levitation, and so on."
Doc Samson,75,80,33,36,56.0,"Doc Samson has abilities such as durability, super strength, stamina, and so on."
Doctor Doom,100,32,20,93,61.25,"Doctor Doom has abilities such as durability, flight, super strength, energy blasts, stamina, astral travel, super speed, weapon-based powers, electrokinesis, teleportation, magic, dimensional travel, summoning, force fields, time travel, and so on."
Doctor Doom II,1,32,1,0,8.5,"Doctor Doom II has abilities such as flight, super strength, energy blasts, force fields, psionic powers, and so on."
Doctor Octopus,1,1,1,0,0.75,"Doctor Octopus has abilities such as agility, marksmanship, intelligence, super strength, stamina, super speed, weapon-based powers, technopath"
Doctor Strange,100,10,12,100,55.5,"Doctor Strange has abilities such as dimensional awareness, flight, longevity, telepathy, energy blasts, teleportation, telekinesis, magic, dimensional travel, phasing, astral projection, summoning, force fields, hypnokinesis, intangibility, banish, time travel, illusions, time manipulation, invisibility, and so on."
Domino,63,10,27,49,37.25,"Domino has abilities such as agility, marksmanship, reflexes, probability manipulation, and so on."
Doppelganger,8,63,60,62,48.25,"Doppelganger has abilities such as agility, accelerated healing, super strength, stamina, super speed, shapeshifting, reflexes, natural weapons, wallcrawling, and so on."
Dormammu,88,95,83,100,91.5,"Dormammu has abilities such as power augmentation, super strength, telepathy, size changing, stamina, super speed, darkforce manipulation, teleportation, magic, dimensional travel, shapeshifting, immortality, molecular manipulation, and so on."
Ego,88,80,83,71,80.5,"Ego has abilities such as energy absorption, super strength, super speed, and so on."
Electro,69,10,50,67,49.0,"Electro has abilities such as super speed, electrokinesis, electrical transport, and so on."
Elektra,63,11,30,59,40.75,"Elektra has abilities such as agility, stealth, danger sense, marksmanship, weapons master, intelligence, telepathy, peak human condition, hypnokinesis, telepathy resistance, and so on."
Emma Frost,75,63,35,82,63.75,"Emma Frost has abilities such as durability, super strength, telepathy, density control, stamina, possession, camouflage, astral projection, psionic powers, mind control, natural armor, illusions, telepathy resistance, mind control resistance, and so on."
Evilhawk,50,32,33,78,48.25,"Evilhawk has abilities such as accelerated healing, durability, flight, super strength, energy blasts, weapon-based powers, force fields, power suit, vision - telescopic, vision - infrared, and so on."
Exodus,63,81,28,100,68.0,"Exodus has abilities such as accelerated healing, flight, telepathy, energy blasts, teleportation, telekinesis, astral projection, psionic powers, mind blast, regeneration, illusions, resurrection, and so on."
Fabian Cortez,1,1,1,0,0.75,"Fabian Cortez has abilities such as power augmentation, and so on."
Falcon,38,13,50,22,30.75,"Falcon has abilities such as flight, telepathy, animal oriented powers, gliding, and so on."
Fallen One II,88,85,83,100,89.0,"Fallen One II has abilities such as accelerated healing, durability, energy absorption, flight, super strength, telepathy, energy blasts, size changing, super speed, darkforce manipulation, enhanced senses, phasing, invulnerability, self-sustenance, gravity control, energy manipulation, time travel, illusions, and so on."
Feral,38,28,45,20,32.75,"Feral has abilities such as agility, accelerated healing, super strength, super speed, animal oriented powers, enhanced senses, jump, reflexes, natural weapons, and so on."
Fin Fang Foom,50,81,23,68,55.5,"Fin Fang Foom has abilities such as accelerated healing, durability, flight, longevity, super strength, telepathy, stamina, possession, shapeshifting, substance secretion, and so on."
Firebird,38,8,40,90,44.0,"Firebird has abilities such as flight, energy blasts, immortality, fire control, fire resistance, energy manipulation, heat resistance, and so on."
Firelord,38,63,75,48,56.0,"Firelord has abilities such as durability, flight, energy blasts, fire control, energy manipulation, heat resistance, and so on."
Firestar,50,8,54,71,45.75,"Firestar has abilities such as flight, energy blasts, enhanced senses, heat generation, energy manipulation, energy resistance, and so on."
Forge,63,10,12,12,24.25,"Forge has abilities such as intelligence, magic, and so on."
Franklin Richards,1,1,1,0,0.75,"Franklin Richards has abilities such as agility, dimensional awareness, durability, flight, longevity, intelligence, super strength, telepathy, energy blasts, duplication, stamina, super speed, teleportation, telekinesis, immortality, astral projection, invulnerability, force fields, animation, precognition, molecular manipulation, energy manipulation, time travel, illusions, omnipotent, telepathy resistance, time manipulation, grim reaping, reality warping, and so on."
Frenzy,63,53,35,38,47.25,"Frenzy has abilities such as cold resistance, super strength, stamina, invulnerability, heat resistance, and so on."
Frigga,1,1,1,0,0.75,"Frigga has abilities such as super strength, magic, and so on."
Galactus,100,100,83,100,95.75,"Galactus has abilities such as accelerated healing, dimensional awareness, durability, energy absorption, flight, marksmanship, longevity, intelligence, super strength, telepathy, energy blasts, size changing, stamina, super speed, teleportation, telekinesis, energy beams, dimensional travel, immortality, invulnerability, force fields, psionic powers, molecular manipulation, regeneration, levitation, energy manipulation, power cosmic, toxin and disease resistance, portal creation, grim reaping, resurrection, vitakinesis, and so on."
Gambit,63,10,23,55,37.75,"Gambit has abilities such as agility, telekinesis, psionic powers, energy manipulation, telepathy resistance, and so on."
Genesis,1,1,1,0,0.75,"Genesis has abilities such as projection, psionic powers, and so on."
Ghost Rider,50,55,25,70,50.0,"Ghost Rider has abilities such as agility, accelerated healing, durability, marksmanship, longevity, super strength, energy blasts, stamina, super speed, weapon-based powers, magic, shapeshifting, fire control, invulnerability, psionic powers, fire resistance, heat generation, heat resistance, magic resistance, and so on."
Ghost Rider II,1,1,1,0,0.75,"Ghost Rider II has abilities such as durability, super strength, fire control, fire resistance, heat resistance, and so on."
Goblin Queen,75,10,23,65,43.25,"Goblin Queen has abilities such as telepathy, telekinesis, summoning, and so on."
Goliath IV,1,1,1,0,0.75,"Goliath IV has abilities such as super strength, size changing, and so on."
Gravity,50,32,33,72,46.75,"Gravity has abilities such as flight, energy blasts, force fields, molecular manipulation, gravity control, and so on."
Green Goblin,75,48,35,38,49.0,"Green Goblin has abilities such as agility, accelerated healing, durability, marksmanship, intelligence, super strength, stamina, super speed, reflexes, insanity, and so on."
Green Goblin II,75,55,37,38,51.25,"Green Goblin II has abilities such as accelerated healing, durability, intelligence, super strength, stamina, super speed, reflexes, insanity, and so on."
Green Goblin III,1,1,1,0,0.75,"Green Goblin III has abilities such as durability, super strength, and so on."
Green Goblin IV,1,1,1,0,0.75,"Green Goblin IV has abilities such as durability, super strength, and so on."
Groot,75,85,33,92,71.25,"Groot has abilities such as durability, longevity, intelligence, super strength, duplication, size changing, stamina, invulnerability, fire resistance, regeneration, plant control, matter absorption, resurrection, and so on."
Havok,63,10,25,71,42.25,"Havok has abilities such as energy absorption, flight, energy blasts, power suit, heat resistance, radiation immunity, and so on."
Hawkeye,50,12,23,26,27.75,"Hawkeye has abilities such as agility, stealth, marksmanship, weapons master, stamina, peak human condition, and so on."
Hawkeye II,50,6,8,24,22.0,"Hawkeye II has abilities such as weapons master, stamina, enhanced memory, photographic reflexes, and so on."
Hellcat,50,10,23,18,25.25,"Hellcat has abilities such as agility, danger sense, intelligence, super strength, peak human condition, natural weapons, magic resistance, and so on."
Hellstorm,1,1,1,0,0.75,"Hellstorm has abilities such as accelerated healing, flight, energy blasts, teleportation, magic, fire control, time travel, and so on."
Hercules,63,100,46,67,69.0,"Hercules has abilities such as accelerated healing, durability, longevity, super strength, stamina, super speed, immortality, invulnerability, and so on."
Hobgoblin,1,1,1,0,0.75,"Hobgoblin has abilities such as super strength, stamina, super speed, reflexes, and so on."
Hollow,1,1,1,0,0.75,"Hollow has abilities such as durability, natural weapons, telepathy resistance, and so on."
Hope Summers,63,10,12,89,43.5,"Hope Summers has abilities such as energy absorption, telepathy, energy blasts, telekinesis, power absorption, natural armor, vision - heat, and so on."
Hulk,88,100,47,41,69.0,"Hulk has abilities such as agility, accelerated healing, cold resistance, durability, longevity, super strength, stamina, super speed, jump, reflexes, invulnerability, self-sustenance, heat resistance, radiation immunity, toxin and disease resistance, mind control resistance, radiation absorption, super breath, and so on."
Human Torch,56,10,63,74,50.75,"Human Torch has abilities such as agility, energy absorption, flight, marksmanship, energy blasts, super speed, fire control, fire resistance, heat generation, heat resistance, super breath, and so on."
Husk,63,63,35,53,53.5,"Husk has abilities such as durability, super strength, density control, super speed, shapeshifting, molecular manipulation, and so on."
Hydro-Man,38,13,25,66,35.5,"Hydro-Man has abilities such as underwater breathing, size changing, shapeshifting, invulnerability, psionic powers, natural weapons, water control, and so on."
Hyperion,63,95,75,58,72.75,"Hyperion has abilities such as agility, durability, flight, longevity, intelligence, super strength, stamina, super speed, enhanced senses, energy beams, invulnerability, enhanced hearing, enhanced sight, vision - microscopic, super breath, vision - infrared, vision - heat, vision - x-ray, and so on."
Iceman,63,32,53,100,62.0,"Iceman has abilities such as agility, accelerated healing, cold resistance, durability, marksmanship, super strength, cryokinesis, energy blasts, duplication, size changing, stamina, invulnerability, elemental transmogrification, heat generation, water control, vision - thermal, and so on."
Ink,38,28,17,66,37.25,"Ink has abilities such as accelerated healing, flight, super strength, telepathy, toxin and disease control, molecular combustion, vitakinesis, and so on."
Invisible Woman,69,10,27,74,45.0,"Invisible Woman has abilities such as stealth, intelligence, energy constructs, force fields, psionic powers, levitation, invisibility, and so on."
Iron Fist,75,23,35,43,44.0,"Iron Fist has abilities such as agility, accelerated healing, cold resistance, durability, energy absorption, danger sense, weapons master, longevity, super strength, energy blasts, stamina, super speed, enhanced senses, peak human condition, reflexes, empathy, psionic powers, heat resistance, illusions, toxin and disease resistance, magic resistance, and so on."
Iron Man,100,85,58,100,85.75,"Iron Man has abilities such as accelerated healing, durability, energy absorption, flight, underwater breathing, marksmanship, super strength, energy blasts, stamina, super speed, weapon-based powers, energy beams, reflexes, force fields, power suit, radiation immunity, vision - telescopic, magnetism, invisibility, vision - night, vision - thermal, and so on."
Iron Monger,88,63,25,57,58.25,"Iron Monger has abilities such as durability, flight, intelligence, super strength, energy beams, and so on."
Jack of Hearts,63,55,100,70,72.0,"Jack of Hearts has abilities such as accelerated healing, cold resistance, durability, flight, intelligence, super strength, energy blasts, stamina, super speed, heat resistance, and so on."
Jean Grey,100,80,67,100,86.75,"Jean Grey has abilities such as energy absorption, telepathy, telekinesis, astral projection, force fields, psionic powers, mind control, mind blast, levitation, energy manipulation, illusions, telepathy resistance, and so on."
Jennifer Kale,75,10,35,61,45.25,"Jennifer Kale has abilities such as magic, force fields, portal creation, and so on."
John Wraith,75,12,35,65,46.75,"John Wraith has abilities such as longevity, teleportation, psionic powers, and so on."
Jolt,63,12,27,31,33.25,"Jolt has abilities such as super strength, energy blasts, super speed, reflexes, and so on."
Jubilee,56,8,22,66,38.0,"Jubilee has abilities such as energy absorption, energy blasts, energy manipulation, and so on."
Juggernaut,44,100,42,74,65.0,"Juggernaut has abilities such as accelerated healing, durability, super strength, stamina, super speed, invulnerability, force fields, self-sustenance, toxin and disease resistance, and so on."
Junkpile,50,38,17,71,44.0,"Junkpile has abilities such as durability, super strength, stamina, telekinesis, invulnerability, regeneration, magnetism, and so on."
Justice,50,10,33,55,37.0,"Justice has abilities such as flight, energy blasts, super speed, telekinesis, force fields, psionic powers, and so on."
Kang,100,48,58,71,69.25,"Kang has abilities such as durability, longevity, super strength, energy blasts, electrokinesis, force fields, anti-gravity, levitation, time travel, and so on."
Klaw,63,38,33,62,49.0,"Klaw has abilities such as durability, super strength, energy blasts, audio control, invulnerability, self-sustenance, telepathy resistance, and so on."
Kraven II,50,34,23,36,35.75,"Kraven II has abilities such as agility, accelerated healing, super strength, stamina, super speed, animal oriented powers, enhanced senses, and so on."
Kraven the Hunter,63,32,35,26,39.0,"Kraven the Hunter has abilities such as agility, longevity, super strength, stamina, super speed, reflexes, and so on."
Lady Bullseye,1,1,1,0,0.75,"Lady Bullseye has abilities such as marksmanship, and so on."
Lady Deathstrike,1,1,1,0,0.75,"Lady Deathstrike has abilities such as agility, accelerated healing, durability, stealth, intelligence, super strength, stamina, super speed, reflexes, technopath"
Leader,100,10,12,58,45.0,"Leader has abilities such as intelligence, telepathy, telekinesis, and so on."
Leech,25,5,12,62,26.0,"Leech has abilities such as power nullifier, and so on."
Living Brain,75,53,35,31,48.5,"Living Brain has abilities such as durability, flight, intelligence, super strength, and so on."
Lizard,38,51,27,40,39.0,"Lizard has abilities such as durability, animal attributes, super strength, telepathy, stamina, super speed, animal oriented powers, enhanced senses, jump, reflexes, natural armor, regeneration, natural weapons, wallcrawling, and so on."
Loki,88,57,47,85,69.25,"Loki has abilities such as accelerated healing, durability, flight, longevity, intelligence, super strength, stamina, energy beams, magic, shapeshifting, psionic powers, toxin and disease resistance, omnilingualism, portal creation, and so on."
Longshot,50,10,27,71,39.5,"Longshot has abilities such as agility, telepathy, stamina, super speed, reflexes, psionic powers, probability manipulation, and so on."
Luke Cage,44,55,23,35,39.25,"Luke Cage has abilities such as accelerated healing, durability, super strength, stamina, jump, invulnerability, and so on."
Luna,38,6,83,53,45.0,"Luna has abilities such as psionic powers, and so on."
Lyja,1,1,1,0,0.75,"Lyja has abilities such as energy blasts, size changing, shapeshifting, and so on."
Mach-IV,75,36,60,60,57.75,"Mach-IV has abilities such as durability, flight, super strength, super speed, weapon-based powers, and so on."
Machine Man,63,32,35,51,45.25,"Machine Man has abilities such as durability, flight, super strength, stamina, weapon-based powers, and so on."
Magneto,88,80,27,91,71.5,"Magneto has abilities such as durability, flight, intelligence, super strength, stamina, enhanced senses, energy beams, force fields, telepathy resistance, magnetism, and so on."
Magus,88,100,70,100,89.5,"Magus has abilities such as energy absorption, flight, super strength, size changing, electrokinesis, shapeshifting, immortality, elasticity, technopath"
Man-Thing,50,32,8,98,47.0,"Man-Thing has abilities such as durability, stealth, underwater breathing, super strength, immortality, invulnerability, empathy, substance secretion, toxin and disease control, natural weapons, toxin and disease resistance, and so on."
Man-Wolf,63,44,35,38,45.0,"Man-Wolf has abilities such as agility, accelerated healing, super strength, stamina, super speed, animal oriented powers, enhanced senses, enhanced hearing, vision - thermal, and so on."
Mandarin,100,28,23,99,62.5,"Mandarin has abilities such as weapons master, intelligence, cryokinesis, energy blasts, weapon-based powers, electrokinesis, energy beams, self-sustenance, mind control, molecular manipulation, levitation, and so on."
Marvel Girl,63,85,47,100,73.75,"Marvel Girl has abilities such as energy absorption, flight, telepathy, energy blasts, telekinesis, astral projection, fire control, force fields, psionic powers, energy manipulation, time travel, and so on."
Maverick,63,10,12,60,36.25,"Maverick has abilities such as electrokinesis, and so on."
Medusa,75,34,35,35,44.75,"Medusa has abilities such as durability, super strength, stamina, super speed, telekinesis, reflexes, hair manipulation, and so on."
Meltdown,38,10,12,58,29.5,"Meltdown has abilities such as agility, energy absorption, energy blasts, energy beams, energy constructs, psionic powers, energy manipulation, and so on."
Mephisto,88,85,35,100,77.0,"Mephisto has abilities such as accelerated healing, dimensional awareness, durability, longevity, super strength, energy blasts, stamina, super speed, magic, dimensional travel, shapeshifting, immortality, astral projection, self-sustenance, molecular manipulation, illusions, toxin and disease resistance, and so on."
Mimic,63,67,47,79,64.0,"Mimic has abilities such as durability, flight, super strength, cryokinesis, telepathy, energy blasts, telekinesis, reflexes, gliding, and so on."
Mister Fantastic,100,10,18,32,40.0,"Mister Fantastic has abilities such as durability, intelligence, size changing, shapeshifting, elasticity, and so on."
